제목,시작일,종료일,장소,장르,출연진_원본,제작진_원본,관람연령,런타임,기획제작사,상태,포스터URL,KOPIS_ID
"제1회 N뮤즈 페스티벌, #8 겟팅 아웃","2026.08.08","2026.08.09","나인진홀 (구.청년극장) (나인진홀 3관(5F))","연극","","남혁준, 전서현, 양혜영","만 11세 이상","1시간 40분","(주) 나인진엔터테인먼트, 아리컴퍼니","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF296348_260720_130914.jpg","PF296348"
"시인의 사랑","2026.08.13","2026.08.14","오류아트홀 (오류아트홀)","연극","김다은, 백지운, 황수지, 김훈오, 이유청, 김동일","김문, 박철중, 전병곤 등","만 7세 이상","1시간 40분","(재)구로문화재단","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF296346_260720_130435.gif","PF296346"
"갱생 트로이카: 햇볕은 선악을 가리지 않는다 [대학로]","2026.08.05","2026.08.09","안똔체홉극장 (안똔체홉극장)","연극","한창훈, 박재영, 이강원, 정연우","박장용","만 12세 이상","1시간 15분","안똔체홉학회(극단 애플씨어터), 안똔체홉학회(극단 애플씨어터)","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF296344_260720_130021.gif","PF296344"
"안내놔? 못내놔! [부산]","2026.07.30","2026.08.02","일터 소극장 (일터 소극장)","연극","김학준, 길수경, 송준승, 박정언, 김명수","김학중, 권철, 조예슬 등","만 7세 이상","1시간 30분","","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF296332_260720_123307.jpg","PF296332"
"밑바닥에서 [대학로]","2026.08.08","2026.08.09","피카소소극장 (1관)","연극","김세헌, 김예빈, 김채윤, 박해인, 신선영, 안재형, 우소원 등","서이준, 한세빈, 장상우","만 12세 이상","2시간 20분","더블유이엔터테인먼트, 프로덕션 언화, 프로덕션 언화","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF296331_260720_122506.gif","PF296331"
"나와 할아버지 [파주]","2026.08.14","2026.08.15","파주운정행복센터 (공연장)","연극","양경원, 표지훈, 서예화, 김종현","민준호, 안혁원, 조승현 등","만 7세 이상","1시간 40분","(주)창작하는 공간, (주)창작하는 공간, 공연배달서비스간다, 공연배달서비스간다","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF296329_260720_121450.jpg","PF296329"
"순남이와 순이 [안동]","2026.09.03","2026.09.04","안동문화예술의전당 (백조홀)","연극","이지영, 김정현, 석민호, 김민선, 강영은, 백광현, 유지원 등","정철원, 유지원, 정창윤 등","만 4세 이상","1시간 30분","안동문화예술의전당, 안동문화예술의전당","공연예정","http://www.kopis.or.kr/upload/pfmPoster/PF_PF296325_260720_114807.jpg","PF296325"
"DNA [대학로]","2026.08.04","2026.08.09","나온씨어터 (나온씨어터)","연극","선예인, 오송규, 추예진, 오은진, 홍석주, 곽한나, 배세은 등","신현우, 박경서, 박하영 등","만 15세 이상","1시간 25분","스테이지 커넥트, 토비바","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF296323_260720_113843.gif","PF296323"
"경기 공연예술 페스티벌 (G-ARTS FESTIVAL) , Dragon [용인]","2026.07.24","2026.07.25","경기아트센터 경기국악원 (국악당)","연극","","","48개월 이상","45분","","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF296314_260720_111937.jpg","PF296314"
"국어의시간 [보성]","2026.08.01","2026.08.01","보성군문화예술회관 (보성군문화예술회관)","연극","이하늘, 이산호, 권다솔, 홍상용, 홍민국, 박제훈, 송유준 등","하동기 등","만 7세 이상","2시간 40분","극단 백수광부","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF296311_260720_110957.jpg","PF296311"
"죽음의 집 [대학로]","2026.07.30","2026.08.02","극장 동국 (극장 동국)","연극","선우권, 나진성, 최민국, 김민주","조강연, 한대우, 김은 등","만 12세 이상","1시간 20분","극단 나아, 극단 나아","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF296309_260720_110647.gif","PF296309"
"제1회 N뮤즈페스티벌, 선셋리미티드","2026.08.05","2026.08.06","나인진홀 (구.청년극장) (나인진홀 3관(5F))","연극","최성원, 박규민","남혁준, 전서현, 양혜영 등","만 11세 이상","1시간 40분","(주) 나인진엔터테인먼트, 아리컴퍼니","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF296303_260720_105109.gif","PF296303"
"닥터 루멘: 터널 속의 빛","2026.07.29","2026.08.02","열린극장 (열린극장)","연극","신황철, 전은주, 정윤수, 최지원, 현세담, 진주호, 유태한 등","김현호, 최영환, 권지혜 등","만 9세 이상","1시간 50분","예술공동체 길, 예술공동체 길","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF296299_260720_103835.gif","PF296299"
"내가 멜론을 얼마나 좋아하는데: 살고지고 [천안]","2026.08.07","2026.08.09","JB소극장 (JB소극장)","연극","조양미, 김지원","손종화, 성시찬미, 추효진 등","만 13세 이상","1시간 10분","","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF296297_260720_103340.png","PF296297"
"마피아게임 [대구]","2026.09.04","2026.10.25","여우별아트홀 (여우별아트홀)","연극","채이원, 김민서, 신민진, 최통령, 신용빈, 이용탁, 정영성 등","","만 13세 이상","1시간 30분","여우별아트홀 (극단여우별)","공연예정","http://www.kopis.or.kr/upload/pfmPoster/PF_PF296293_260716_154546.png","PF296293"
"어린이를 위한 문화공연지원: 여름방학 문화여행을 떠나자! [양구]","2026.07.24","2026.08.14","버드나무 예술창고 (공연장)","연극","","","전체 관람가","1시간","","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF296292_260716_154301.jpg","PF296292"
"제3회 심야연극제, 사라세니아","2026.08.04","2026.08.16","나인진홀 (구.청년극장) (나인진홀 1관)","연극","오협, 서호철, 박결이, 최승규, 최민석, 김고은, 김민지","강재림, 최병훈, 박성민 등","만 14세 이상","1시간 10분","극단 줌","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF296290_260716_153106.gif","PF296290"
"STAGE 100: 연극제, 외투","2026.08.28","2026.08.29","NC문화재단 홀 (NC문화재단 홀)","연극","이민기, 서민준, 장창완, 전원재, 정희경, 김재현, 임지형","유운, 지서훤, 백지원 등","만 7세 이상","1시간 20분","극단 뜬, 구름, 인더케이브 (INTHECAVE)","공연예정","http://www.kopis.or.kr/upload/pfmPoster/PF_PF296288_260716_151939.gif","PF296288"
"STAGE 100: 연극제, 바쁜 사람들","2026.09.11","2026.09.12","NC문화재단 홀 (NC문화재단 홀)","연극","권혁재, 김조이혜수, 배진주, 백석, 신재욱","윤예은, 김영준","만 8세 이상","1시간","걸작들, 인더케이브 (INTHECAVE)","공연예정","http://www.kopis.or.kr/upload/pfmPoster/PF_PF296287_260716_151802.gif","PF296287"
"STAGE 100: 연극제, 동물농장","2026.09.04","2026.09.05","NC문화재단 홀 (NC문화재단 홀)","연극","이도훈, 고경태, 이단우, 엄태호, 천유진, 원빈, 조은영 등","곽태인, 김정현, 박차리 등","만 15세 이상","1시간 15분","극단 mate, 인더케이브 (INTHECAVE)","공연예정","http://www.kopis.or.kr/upload/pfmPoster/PF_PF296283_260716_150820.gif","PF296283"
"STAGE 100: 연극제, 모딧세이","2026.09.18","2026.09.19","NC문화재단 홀 (NC문화재단 홀)","연극","김민주, 박서린, 박창모, 서창호, 신윤철, 이강민, 이은조 등","류지원, 이형우, 장영 등","만 13세 이상","1시간 15분","인더케이브 (INTHECAVE)","공연예정","http://www.kopis.or.kr/upload/pfmPoster/PF_PF296281_260716_145615.gif","PF296281"
"장군슈퍼","2026.08.26","2026.09.13","선돌극장 (선돌극장)","연극","이승연, 권아름, 이동규, 정현규, 이세형, 장우정, 박서은 등","손건우, 이호선, 이동규 등","만 13세 이상","1시간 40분","극단 가족의탄생(극단 가탄)","공연예정","http://www.kopis.or.kr/upload/pfmPoster/PF_PF296274_260716_143153.gif","PF296274"
"불편한 편의점2 [부산]","2026.09.03","2026.10.31","KNN시어터 (KNN시어터)","연극","","","만 7세 이상","1시간 30분","","공연예정","http://www.kopis.or.kr/upload/pfmPoster/PF_PF296263_260721_170810.gif","PF296263"
"다 내 아이들 [대학로]","2026.08.21","2026.08.30","아르코예술극장 (소극장)","연극","길해연, 박완규, 김민선, 이산호, 송유준, 박희정, 권다솔 등","이성열, 조만수, 이송이 등","만 12세 이상","2시간 10분","주식회사 코스타","공연중","http://www.kopis.or.kr/upload/pfmPoster/PF_PF296256_260716_133752.gif","PF296256"
"봉천내 사람들: 만두 전성시대 [인제]","2026.08.15","2026.08.15","인제하늘내린센터 (대공연장)","연극","김미진, 윤상돈, 이송이, 김수영, 정수석, 장현구, 박하늘 등","이석표, 최규창, 박승원 등","전체 관람가","1시간 40분","씨어터컴퍼니 웃끼","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF296253_260716_133004.gif","PF296253"
"보물찾기 [전주]","2026.11.13","2026.12.27","한해랑아트홀 (한해랑아트홀)","연극","강이성, 신한솔, 이준혁, 문민경, 서태인, 엄선영, 김남호 등","","만 7세 이상","1시간 30분","한해랑아트홀(극단 한해랑)","공연예정","http://www.kopis.or.kr/upload/pfmPoster/PF_PF296245_260716_131928.gif","PF296245"
"남사친 여사친 [금산]","2026.08.04","2026.08.04","금산다락원 생명의집 (소공연장)","연극","","","만 12세 이상","1시간 40분","","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF296233_260716_124309.jpg","PF296233"
"세마녀: 세마녀의 맥베스 이야기 [제주]","2026.08.05","2026.08.27","세이레아트센터 (세이레아트센터)","연극","이지선, 박은주, 김시혁","홍창수, 정민자, 강상훈 등","전체 관람가","1시간 15분","세이레아트센터","공연중","http://www.kopis.or.kr/upload/pfmPoster/PF_PF296220_260716_112924.gif","PF296220"
"둥둥주의보: 어둡기 전에 돌아오렴 [고성 (앵콜) ]","2026.08.07","2026.08.08","고성군문화복지센터 (대공연장)","연극","김도란, 이태훈, 박소원","윤소정, 황석용, 박선주 등","48개월 이상","1시간","","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF296219_260716_112520.png","PF296219"
"그 여자 이야기","2026.08.07","2026.08.16","연우소극장 (연우소극장)","연극","김수아, 남수현, 윤동원","이인수, 김소희, 조은희 등","만 18세 이상","1시간 40분","글과 무대","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF296218_260716_112331.gif","PF296218"
"여름 낭독 3부작: 3 한여름, 명명","2026.07.30","2026.08.02","단막극장(구.대학로단막극장) (단막극장(구.대학로단막극장))","연극","강유희, 이해경, 권민, 이다은, 김서진, 박지수","김소이, 윤예준, 박재윤 등","만 13세 이상","1시간 10분","여류","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF296215_260716_111509.gif","PF296215"
"AnYmall","2026.07.28","2026.08.02","동숭무대소극장 (동숭무대소극장)","연극","이현학, 이원영, 이관민, 임규민, 윤민상, 심지예, 김종서 등","서지원, 김동규, 이호웅 등","만 13세 이상","1시간 10분","오브텐션(Of tension)","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF296207_260716_104428.jpeg","PF296207"
"수성르네상스 창작연극팩토리, 햄릿 [대구]","2026.09.10","2026.09.12","수성아트피아 (대극장 (대공연장) )","연극","박지훈, 임도연, 김정건, 석한솔, 박정민, 이정민","이하미, 류수진, 이세기 등","만 11세 이상","1시간 30분","(재)수성문화재단 수성아트피아","공연예정","http://www.kopis.or.kr/upload/pfmPoster/PF_PF296195_260715_160348.jpg","PF296195"
"십이야 [대구]","2026.09.03","2026.09.05","수성아트피아 (소극장 (소공연장) )","연극","홍바다, 김준성, 전소영, 서영언, 김주은, 박설하","정창윤, 송호걸, 이지은 등","만 7세 이상","1시간 30분","(재)수성문화재단 수성아트피아, 열혈단","공연예정","http://www.kopis.or.kr/upload/pfmPoster/PF_PF296189_260715_152047.jpg","PF296189"
"서울문화재단 8.15 광복절 특별기획 프로그램: 극장은 달린다 [대학로]","2026.08.13","2026.08.14","서울문화재단 대학로극장 쿼드 (예술청) (대학로극장 쿼드 (예술청) )","연극","김성언, 김기분, 심우성, 신태희, 유일한, 김수진, 최경식 등","송형종, 오세혁, 변영진 등","만 7세 이상","1시간 40분","(재)서울문화재단, 라피크컴퍼니","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF296171_260715_142523.gif","PF296171"
"제11회 여성연극제, 이민선","2026.08.06","2026.08.09","서울연극창작센터 (서울씨어터 202 (5F) )","연극","마흥식, 윤관용, 강희영, 변은영, 강선숙, 이윤상, 황정원 등","류근혜, 전성희, 김민섭 등","만 13세 이상","1시간 40분","극단 캔버스, 한국여성연극협회","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF296166_260715_141528.gif","PF296166"
"SPAF, 문라이트 오키나와","2026.10.23","2026.10.25","국립극장 (하늘극장)","연극","윤현길, 김정, 이지혜, 김정화, 강혜련, 이유주, 권주영 등","윤혜숙, 장영, 여신동 등","만 11세 이상","2시간 15분","(재)예술경영지원센터, 국립아시아문화전당, 국립아시아문화전당","공연예정","http://www.kopis.or.kr/upload/pfmPoster/PF_PF296163_260818_152713.gif","PF296163"
"봉산공연창작소 Ⅰ. 반월당 안내원 [대구]","2026.08.14","2026.08.15","봉산문화회관 (스페이스라온)","연극","이종현, 김민솔, 정유라, 조성민, 김정호, 황현아","","전체 관람가","50분","(재)대구광역시 중구 도심재생문화재단, 도레스","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF296160_260715_135738.jpg","PF296160"
"베니스의 상인 [울산]","2026.09.04","2026.09.05","울산문화예술회관 (대공연장)","연극","박근형, 이승주, 원진아, 이상윤, 김슬기, 김아영, 최정헌 등","오경택, 박연주, 홍유선 등","만 7세 이상","2시간 20분","(주)파크컴퍼니, 울산문화예술회관","공연예정","http://www.kopis.or.kr/upload/pfmPoster/PF_PF296153_260715_133945.jpg","PF296153"
"프랑스희곡 낭독공연, 다리우스 (Darius)","2026.08.21","2026.08.21","국립극단 [명동] (명동예술극장)","연극","김대진, 정지은","까띠 라뺑, 임혜경, 장-클로드 라뺑 등","만 12세 이상","1시간 40분","(재) 국립극단, 극단 프랑코포니","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF296150_260715_133342.jpg","PF296150"
"퀘벡희곡 낭독공연, 비앙베이앙스 Bienveillance","2026.08.22","2026.08.22","국립극단 [명동] (명동예술극장)","연극","김다흰, 김어진, 김현회, 임휘진, 취주현","최정우, 이은진, 심재욱 등","만 15세 이상","1시간 25분","","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF296146_260715_132345.jpg","PF296146"
"봉천내 사람들: 만두 전성시대 [평창]","2026.07.24","2026.07.24","평창문화예술회관 (대공연장)","연극","김미진, 윤상돈, 이송이, 김수영, 정수석, 장현구, 박하늘 등","이석표, 최규창, 박승원 등","전체 관람가","1시간 40분","씨어터컴퍼니 웃끼","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF296145_260715_131820.gif","PF296145"
"윌리 [인천]","2026.08.01","2026.08.02","인천아트플랫폼 (공연장 (C동) )","연극","김혜령, 권영민, 남기찬, 남궁은수, 김준희, 권영민, 김준희 등","이예린, 엄혜린, 김은성 등","만 11세 이상","2시간 45분","토마토 터트리기, 토마토 터트리기","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF296130_260715_114427.gif","PF296130"
"기로 [아산]","2026.07.17","2026.07.18","삼동소극장 (삼동소극장)","연극","김보영, 박정민, 지윤진","천아란, 고건우, 우사랑 등","만 12세 이상","50분","CS뮤지컬컴퍼니","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF296115_260715_110907.jpg","PF296115"
"그녀와의 투쟁 [논산]","2026.07.24","2026.07.24","논산아트센터(구. 논산문화예술회관) (소공연장)","연극","김성경, 이선영, 전범준, 장용석, 임도윤, 문한결","장용석, 심현이, 김민수 등","만 7세 이상","1시간 20분","극단 처용, 논산문화관광재단","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF296113_260715_110447.png","PF296113"
"양은 양순하다","2026.07.29","2026.08.02","선돌극장 (선돌극장)","연극","김예림, 이수연, 오혜진, 박소현, 문연지, 최상현, 하은성 등","오태영, 김다혜, 민병구 등","만 13세 이상","1시간 20분","극단 대학로극장, 극단 대학로극장","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF296112_260715_110431.gif","PF296112"
"춘천공연예술제, 양떼목장의 대혈투","2026.08.14","2026.08.15","봄내극장 (봄내극장)","연극","권효은, 김원태, 김효영, 박수빈, 박정근, 이승훈, 이주형 등","주은길 등","만 7세 이상","2시간","그린피그, 사단법인 텐스푼","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF296109_260715_105848.gif","PF296109"
"쉿! 수상한 장난감 가게 [단체]","2026.09.03","2026.09.20","천안어린이꿈누리터 (구. 천안시 어린이 회관) (꿈누리대공연장)","연극","강지수, 양채원, 윤현준, 이지윤, 정복영","서효정, 김이경","24개월 이상","50분","극단 너울","공연예정","http://www.kopis.or.kr/upload/pfmPoster/PF_PF296105_260715_105100.png","PF296105"
"그녀를 믿지마세요 [대구]","2026.09.04","2026.10.18","아트플러스씨어터 (2관)","연극","","","만 13세 이상","1시간 30분","(주)아트플러스씨어터","공연예정","http://www.kopis.or.kr/upload/pfmPoster/PF_PF296088_260714_144127.gif","PF296088"
"제9회 중국 희곡 낭독 공연, 73집 반 세입자의 마카오 기담","2026.08.14","2026.08.15","국립극단 [명동] (명동예술극장)","연극","황정민, 류주연, 최무인, 남동진, 장지아, 정선미, 임경훈 등","서지혜","만 11세 이상","1시간 50분","","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF296087_260714_143809.png","PF296087"
"제13회 현대일본희곡 낭독공연, 도도가 낙하한다","2026.08.08","2026.08.09","국립극단 [명동] (명동예술극장)","연극","강해리, 김세환, 장요훈, 정환, 탁민지","김연민, 박승훤, 김성구 등","만 12세 이상","1시간 50분","","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF296086_260714_142955.jpg","PF296086"
"제9회 중국희곡 낭독공연, 파도가 밀려올 때","2026.08.15","2026.08.16","국립극단 [명동] (명동예술극장)","연극","이진경, 정제이","박주영, 오승희, 임정은 등","만 14세 이상","1시간 5분","","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF296074_260714_135230.png","PF296074"
"제9회 중국희곡 낭독공연, 역전된 미래","2026.08.12","2026.08.13","국립극단 [명동] (명동예술극장)","연극","이주순, 황규찬, 오현서, 장태민, 김보정, 유희제, 윤상호 등","변영진, 이승희, 공한식 등","만 11세 이상","1시간 20분","","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF296070_260714_134616.png","PF296070"
"공연봄날 공모선정작, 피노키오 트라이얼 (PINOCCHIO TRIAL)","2026.07.15","2026.07.17","꿈의숲아트센터 (퍼포먼스홀)","연극","","","전체 관람가","1시간 20분","극단 올리브와 찐콩","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF296068_260714_133848.png","PF296068"
"제13회 현대일본희곡 낭독공연, 바쿠스의 신녀 - 홀스타인 암소","2026.08.07","2026.08.08","국립극단 [명동] (명동예술극장)","연극","김민정, 김보경, 윤현길, 장우영, 최범","김수정, 박승훤, 김성구 등","만 15세 이상","2시간","(재) 국립극단, 한일연극교류협의회","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF296064_260714_133133.jpg","PF296064"
"사인용 식탁","2026.08.06","2026.08.16","뜻밖의 극장(구. 해우소소극장) (뜻밖의 극장(구. 해우소소극장))","연극","최민영, 전혜린, 이시윤, 이윤서, 박지원, 이륜경, 주하린 등","최민영, 김홍기","만 15세 이상","1시간 30분","민영사단","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF296054_260714_130527.jpg","PF296054"
"영국왕 심벌린","2026.07.29","2026.08.09","소극장 공유 (소극장 공유)","연극","이용민, 남유미, 이그루, 김미남, 허원길, 김만희, 남관욱 등","남육현","전체 관람가","1시간 50분","","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF296049_260714_124438.gif","PF296049"
"수무바다 흰고무래 [사천]","2026.08.13","2026.08.13","사천문화예술회관 (대공연장)","연극","김영균, 김헌근, 최동석, 황윤희, 김주열, 오세아, 이재선 등","정대균, 박범주, 고능석 등","만 7세 이상","1시간 5분","","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF296035_260714_111003.png","PF296035"
"제3회 심야N연극제: 럭키! 전당포 [대전]","2026.08.12","2026.08.15","아신극장 (1관 (3층) )","연극","고해이, 김다은, 김수민, 김재아, 류지환, 백승준, 서시원 등","김시연, 박경서, 김화영 등","만 12세 이상","1시간 20분","(주)아신아트컴퍼니","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF296034_260714_110709.gif","PF296034"
"죽여주는 이야기 [사천]","2026.07.30","2026.07.30","사천문화예술회관 (대공연장)","연극","류종현, 신시온, 이훈진","","만 7세 이상","1시간 40분","","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF296031_260714_110332.jpg","PF296031"
"오백에 삼십 [계룡]","2026.07.25","2026.07.25","계룡문화예술의전당 (소공연장(다목적홀))","연극","","","만 13세 이상","1시간 20분","계룡문화예술의전당(계룡공공시설사업소)","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF296016_260714_103024.gif","PF296016"
"개굴이, 빗속에서 춤추다","2026.07.15","2026.07.15","보광극장 (보광극장)","연극","김준성, 오창현, 박상욱","박정환 등","만 13세 이상","40분","라온디어","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF296011_260714_102044.jpg","PF296011"
"노인의 꿈 [동해]","2026.09.05","2026.09.05","동해문화예술회관 (대공연장)","연극","김용림, 이일화, 남경읍, 이필모, 최서윤, 손지유","","만 7세 이상","1시간 45분","동해시청","공연예정","http://www.kopis.or.kr/upload/pfmPoster/PF_PF296002_260714_095847.jpg","PF296002"
"BLACK MUSE 블랙뮤즈","2026.07.14","2026.07.17","BLACK MUSE (BLACK MUSE)","연극","","","만 15세 이상","1시간 25분","","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF296000_260713_174225.png","PF296000"
"NT Live, 서쪽 나라의 멋쟁이 (영상화)","2026.09.25","2026.09.25","국립극장 (해오름극장)","연극","","카트리오나 맥러플린","만 13세 이상","2시간 40분","국립극장, 영국 국립극장","공연예정","http://www.kopis.or.kr/upload/pfmPoster/PF_PF295994_260713_172643.gif","PF295994"
"광주시립극단, 출장연극시리즈: 오스카와 장미할머니 [광주]","2026.08.08","2026.08.08","북구문화센터  (공연장)","연극","양선아, 윤미란, 김여름, 정일행, 조아라","김지훈, 임주신, 오윤지 등","만 4세 이상","1시간","광주북구문화센터(광주북구시설관리공단), 광주시립극단","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF295993_260713_171911.png","PF295993"
"서울의 별 [대학로]","2026.07.31","2026.10.18","대학로 스타릿홀 (공연장)","연극","정은표, 김명수, 김학도, 전호준, 동현배, 박준석, 이하린 등","손남목, 강신혜, 구찬영 등","만 12세 이상","1시간 40분","(주)위아더컬쳐, (주)위아더컬쳐, (주)조이컬쳐스, 극단 두레, 안녕컴퍼니","공연중","http://www.kopis.or.kr/upload/pfmPoster/PF_PF295991_260713_171114.gif","PF295991"
"국립극장, 옹옹옹","2026.09.03","2026.09.06","국립극장 (달오름극장)","연극","","서동민, 강훈구","만 7세 이상","1시간 40분","국립극장","공연예정","http://www.kopis.or.kr/upload/pfmPoster/PF_PF295984_260713_164159.gif","PF295984"
"떨지 마, 죽어. vol.3 [안산]","2026.07.25","2026.07.26","안산문화예술의전당 (별무리극장)","연극","배정민, 이강준","서다영, 유보민, 류종원","만 12세 이상","1시간 10분","아트시나브로","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF295982_260713_163340.png","PF295982"
"NT Live, 모두가 나의 아들 (영상화)","2026.09.26","2026.09.26","국립극장 (해오름극장)","연극","브라이언 크랜스톤, 마리안 장 밥티스트, 파아파 에시에두, 톰 글린 카니, 헤일리 스콰이어스, 리처드 한셀, 알리야 오도핀 등","이보 반 호프, 얀 페르스베이벨트, 안 드휘스 등","만 13세 이상","2시간 30분","국립극장","공연예정","http://www.kopis.or.kr/upload/pfmPoster/PF_PF295965_260713_155722.jpg","PF295965"
"NT Live, 더 피프스 스텝 (영상화)","2026.09.27","2026.09.27","국립극장 (해오름극장)","연극","잭 로든, 틴 프리먼","데이비드 아일랜드, 핀 덴 헤르토흐, 밀라 클라크 등","만 13세 이상","1시간 30분","","공연예정","http://www.kopis.or.kr/upload/pfmPoster/PF_PF295956_260713_154210.jpg","PF295956"
"국립극장, 다정히 세상을 누리면","2026.12.17","2026.12.20","국립극장 (달오름극장)","연극","","민준호 등","만 7세 이상","1시간 40분","국립극장","공연예정","http://www.kopis.or.kr/upload/pfmPoster/PF_PF295951_260713_153016.jpg","PF295951"
"꽃, 별이 지나 [안성]","2026.09.18","2026.09.19","안성맞춤아트홀 (대공연장)","연극","박소진, 진선규, 김정연, 차용학, 정예인","민준호, 안혁원, 최민성 등","만 13세 이상","1시간 40분","안성맞춤아트홀(안성시)","공연예정","http://www.kopis.or.kr/upload/pfmPoster/PF_PF295941_260713_151341.gif","PF295941"
"낮에 본 갈림길","2026.08.07","2026.08.09","선돌극장 (선돌극장)","연극","신윤지, 박경주, 류이재, 장석환, 염진혁, 박현숙, 문다현","정예진, 이동원, 김지우 등","만 12세 이상","1시간 40분","극단 배다, 극단 배다","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF295922_260713_143448.gif","PF295922"
"산사람 [춘천]","2026.07.20","2026.07.21","춘천인형극장 (대극장)","연극","김지희, 김도란","황석용, 선욱현, 이성순 등","만 7세 이상","1시간 20분","","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF295885_260713_130904.png","PF295885"
"윌리!","2026.08.07","2026.08.09","아르코 꿈밭극장 (아르코꿈밭극장)","연극","권영민, 김승빈, 김유영, 김준희, 김혜령, 남기찬, 남궁은수 등","이예린, 엄혜린, 김은성 등","만 12세 이상","2시간 45분","토마토 터트리기, 토마토 터트리기","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF295881_260713_125854.png","PF295881"
"제1회 N뮤즈페스티벌, #7. 잊혀질 권리","2026.07.30","2026.08.02","나인진홀 (구.청년극장) (나인진홀 3관(5F))","연극","강채영, 서유진, 곽지우, 박지우","조서우, 이정빈, 김세희 등","만 11세 이상","1시간 20분","창작극단 파란","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF295878_260713_124926.jpg","PF295878"
"안녕! B612: 어린왕자 [강진]","2026.08.08","2026.08.08","강진아트홀 (대공연장)","연극","","","만 4세 이상","1시간 20분","","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF295875_260713_124035.png","PF295875"
"나와 할아버지 [정선]","2026.07.30","2026.07.30","정선아리랑센터 (아리랑홀)","연극","양경원, 표지훈, 박보경, 김종현","","만 4세 이상","1시간 40분","공연배달서비스간다","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF295868_260713_113444.png","PF295868"
"더 드레서 [진주]","2026.11.20","2026.11.21","경상남도문화예술회관 (대공연장)","연극","정동환, 오만석, 송옥숙, 송영재, 이주원, 한기장, 고명진 등","장유정, 박제영, 고명진 등","만 12세 이상","1시간 40분","(주)나인스토리, 경상남도문화예술회관","공연예정","http://www.kopis.or.kr/upload/pfmPoster/PF_PF295832_260710_152942.jpg","PF295832"
