제목,시작일,종료일,장소,장르,출연진_원본,제작진_원본,관람연령,런타임,기획제작사,상태,포스터URL,KOPIS_ID
"다정한 괴물 [천안]","2026.08.07","2026.08.30","천안어린이꿈누리터 (구. 천안시 어린이 회관) (꿈누리대공연장)","연극","송승규, 김원식, 신근호, 유인희","권지애, 박근화, 김한신 등","36개월 이상","50분","예술공동체 단디","공연중","http://www.kopis.or.kr/upload/pfmPoster/PF_PF294494_260624_105741.jpg","PF294494"
"사명","2026.07.14","2026.07.19","열린극장 (열린극장)","연극","김평화, 남궁하린, 류제원, 서준호, 양권석, 원인재, 유지훈 등","최현섭, 이송이, 이재민 등","전체 관람가","1시간 25분","프로젝트38","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF294491_260624_104944.gif","PF294491"
"제13회 대한민국신진연출가전, 이주영: No Witness","2026.07.16","2026.07.19","서울연극창작센터 (서울씨어터 101 (1F) )","연극","황기석, 류석호, 박민정, 박민석, 유은주","이주영, 조성현","만 12세 이상","1시간 20분","극단 재준이","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF294484_260624_103446.jpeg","PF294484"
"제13회 대한민국 신진연출가전, 권오윤: 6-1칸에서","2026.07.23","2026.07.26","서울연극창작센터 (서울씨어터 101 (1F) )","연극","강기혁, 김도이, 홍산하, 오수진, 곽민서, 이나현","권오윤, 김장현, 유보민 등","만 13세 이상","1시간 40분","극단 괴우, 스튜디오212","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF294483_260624_103356.jpeg","PF294483"
"아버지와 나와 홍매와 [강릉]","2026.08.07","2026.08.07","강릉아트센터 (구. 강릉문화예술관) (소공연장)","연극","신현주, 정아름, 이병철, 최대운, 윤수지","김광탁, 안정훈, 천은영 등","만 13세 이상","1시간 30분","","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF294481_260624_102852.jpg","PF294481"
"제13회 대한민국신진연출가전, 이윤성: 진짜 사나이는 다 엎드려 뻗쳐","2026.07.15","2026.07.16","삼일로창고극장 (삼일로창고극장)","연극","김수인, 송선재, 조수재, 정교림, 차선민","김요섭, 이윤성, 김영환 등","만 15세 이상","1시간 40분","일공시","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF294479_260624_102832.png","PF294479"
"제13회 대한민국 신진 연출가전, 백지은: 기억의 불씨","2026.07.25","2026.07.26","삼일로창고극장 (삼일로창고극장)","연극","조성환, 김강호, 임건우, 전현지","백지은, 이은결, 이윤화 등","만 7세 이상","1시간 30분","프로젝트 모락","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF294475_260624_101616.jpeg","PF294475"
"[패키지] 제24회 김천국제가족연극제, 어린이 패키지 (5개공연)","2026.07.26","2026.08.01","김천시립문화회관 (김천시립문화회관)","연극","","","만 7세 이상","","김천국제가족연극제 추진위원회","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF294461_260623_151051.jpg","PF294461"
"론더풀 투나잇 [부산]","2026.09.11","2026.09.20","어댑터씨어터 2관 (어댑터씨어터 2관)","연극","지대한, 서보기, 김세진, 이혁우, 이영준, 나건필, 권정욱 등","차승호, 김영민, 최유경 등","만 8세 이상","1시간 30분","문화기획단 무대공감","공연예정","http://www.kopis.or.kr/upload/pfmPoster/PF_PF294459_260819_154634.gif","PF294459"
"[부산문화패스 2차 패키지] 조은극장 1, 2관 패키지 (신바람삼대 / 할래말래)","2026.07.06","2026.07.19","BNK부산은행 조은극장 (1관)","연극","","","전체 관람가","","(주)조은아트플러스","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF294457_260623_143236.png","PF294457"
"제24회 김천국제가족연극제, 걸리버 여행기: 줌 인 아웃","2026.07.26","2026.07.26","김천시립율곡도서관 (율곡홀 (다목적강당))","연극","","","전체 관람가","50분","극단 하땅세(하땅세 극장), 김천국제가족연극제 추진위원회","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF294444_260623_134711.jpg","PF294444"
"제24회 김천국제가족연극제, 꽃밭","2026.07.31","2026.07.31","김천시문화예술회관 (소공연장)","연극","","","만 4세 이상","1시간","극단 풍령 [중국], 김천국제가족연극제 추진위원회","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF294443_260623_134523.jpg","PF294443"
"제24회 김천국제가족연극제, 삐노키오","2026.07.27","2026.07.27","김천시립문화회관 (김천시립문화회관)","연극","","","48개월 이상","1시간 5분","극단 로.기.나래, 김천국제가족연극제 추진위원회","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF294440_260623_133946.jpg","PF294440"
"등 좀 밀어줘 Pushing My Back","2026.07.24","2026.08.02","연희예술극장 (연희예술극장)","연극","이래인, 정대진, 한혜진","허선혜, 박세련, 김은정 등","만 15세 이상","1시간 10분","이방인(2roomperson), 창작집단 여기에 있다","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF294431_260623_131922.gif","PF294431"
"절대 반복하게 두지 않는다","2026.06.26","2026.06.28","북극곰소극장 (북극곰소극장)","연극","김준성, 박상욱, 오창현","박정환, 박지호, 장준혁 등","만 13세 이상","1시간 30분","라온디어","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF294427_260623_131134.jpg","PF294427"
"김성연의 월간 마임, THIS IS THE MIME vol.9","2026.06.27","2026.06.27","극단 빈공간 (빈-공간 THEATRE) (극단 빈공간)","연극","임재헌, 이경식, 김성연","윤성환, 장유상","만 7세 이상","1시간 20분","극단 빈-공간, 극단 빈-공간","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF294421_260623_124844.gif","PF294421"
"돌고돌고","2026.07.11","2026.07.11","오류아트홀 (오류아트홀)","연극","심원석, 이경원, 조은","이은준, 조성현, 이상숙 등","만 13세 이상","1시간 15분","(재)구로문화재단, 극단 파수꾼","공연완료","http://www.kopis.or.kr/upload/pfmPoster/PF_PF294410_260623_113243.gif","PF294410"
